dmc_dB sigma2
-4.051961084112171818e+01 3.761637007254393261e-05
-4.024322893157398084e+01 4.008806328898464845e-05
-3.996684702202624351e+01 4.272216631116739502e-05
-3.969046511247850617e+01 4.552935074866947907e-05
-3.941408320293076883e+01 4.852098942027481250e-05
-3.913770129338303860e+01 5.170920242896755246e-05
-3.886131938383528706e+01 5.510690626441898897e-05
-3.858493747428754972e+01 5.872786613189488590e-05
-3.830855556473981238e+01 6.258675171958728021e-05
-3.803217365519208215e+01 6.669919663030114546e-05
-3.775579174564433771e+01 7.108186171827296973e-05
-3.747940983609659327e+01 7.575250258771920673e-05
-3.720302792654886304e+01 8.073004152657435573e-05
-3.692664601700111859e+01 8.603464416684509228e-05
-3.665026410745338126e+01 9.168780118215481747e-05
-3.637388219790564392e+01 9.771241535346501675e-05
-3.609750028835790658e+01 1.041328943557035078e-04
-3.582111837881016214e+01 1.109752496412072157e-04
-3.554473646926242481e+01 1.182672018205909310e-04
-3.526835455971468747e+01 1.260382929679727457e-04
-3.499197265016695724e+01 1.343200063055415396e-04
-3.471559074061920569e+01 1.431458937523479946e-04
-3.443920883107146835e+01 1.525517118540598938e-04
-3.416282692152373102e+01 1.625755666443795110e-04
-3.388644501197599368e+01 1.732580680250011326e-04
-3.361006310242825634e+01 1.846424942895544350e-04
-3.333368119288051901e+01 1.967749674580727027e-04
-3.305729928333277456e+01 2.097046401323232709e-04
-3.278091737378503723e+01 2.234838946290121353e-04
-3.250453546423730700e+01 2.381685551976158279e-04
-3.222815355468956255e+01 2.538181141826048332e-04
-3.195177164514181811e+01 2.704959730463137079e-04
-3.167538973559408078e+01 2.882696992289235285e-04
-3.139900782604634699e+01 3.072112998861758928e-04
-3.112262591649860610e+01 3.273975136138221505e-04
-3.084624400695086877e+01 3.489101213406773793e-04
-3.056986209740313143e+01 3.718362776498086979e-04
-3.029348018785539409e+01 3.962688638701478009e-04
-3.001709827830765676e+01 4.223068643690165258e-04
-2.974071636875991942e+01 4.500557675700497698e-04
-2.946433445921217142e+01 4.796279933211698319e-04
-2.918795254966443764e+01 5.111433483440170787e-04
-2.891157064011670030e+01 5.447295116100165941e-04
-2.863518873056895586e+01 5.805225516094901636e-04
-2.835880682102121852e+01 6.186674776094436843e-04
-2.808242491147348474e+01 6.593188271333548555e-04
-2.780604300192574385e+01 7.026412920430313023e-04
-2.752966109237800651e+01 7.488103857590022510e-04
-2.725327918283026563e+01 7.980131543225704336e-04
-2.697689727328252474e+01 8.504489341802685823e-04
-2.670051536373478740e+01 9.063301597607484718e-04
-2.642413345418704651e+01 9.658832241158708896e-04
-2.614775154463930917e+01 1.029349396112717863e-03
-2.587136963509156828e+01 1.096985797892384082e-03
